	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ACAP2	1981.88395871199	1918.35551196952	1863.33608597886	1750.86145472723	2042.85031288969	1884.35151815087	1989.47965838894	1804.02697299819
ACAP3	1034.08198813157	1087.49585043088	999.493809406259	1030.70590224768	962.511495736043	885.600666213695	896.564462240028	1043.09936170392
ACAT1	2171.69999732452	2280.85412877982	2398.45225537788	2265.76821281979	2332.06282909655	2364.57159771745	2338.54762978251	2357.67201882566
ACAT2	2516.82006752913	2471.19263554156	2527.44604426878	2559.36322739944	2410.10430172379	2592.65386185297	2466.33144073908	2445.9342725083
ACBD3	3634.62562824737	3521.26237509233	3361.32847309898	3313.42945025597	3758.23248573564	3301.84715189935	3391.98490059524	3194.82612193675
ACBD4	308.051618219665	357.152029541706	533.451733413332	555.956516969961	433.053661833545	444.582225795406	429.062714837928	464.045485270847
ACBD5	1423.30073397343	1377.28088038838	1308.24668475157	1282.35877188737	1392.50470766264	1523.51824871772	1563.53362186702	1552.61328069007
ACBD6	1005.96109352231	1032.96066029128	1093.53444259769	1134.22268550373	1182.8638890365	1192.0862086458	1181.22108176931	1130.02430851258
ACBD7	452.490758712702	489.747393802699	416.108996422256	423.88337971225	439.174561647447	596.934050667179	544.379812530446	522.88698772594
ACCN1	0.639111241119636	1.06931745371768	0	0.892386062552105	0	0	1.03889277200467	2.67461374795877
ACCN2	630.163683743961	733.55177325033	1068.56790281235	1235.06231057211	1040.55296836329	680.68300702944	705.408192191169	730.169553192744
ACCN3	56.8809004596476	81.2681264825439	74.8996193560061	112.440643881565	74.9810227202958	59.6934050667179	65.450244636294	77.5637986908043
ACCN4	40.2640081905371	37.4261108801189	10.8188339069787	16.95533518849	0	12.4732488199112	21.816748212098	20.0596031096908
ACCN5	0	0	0	0	0	0	0	0
ACCS	78.6106826577152	68.4363170379317	151.463674697701	125.826434819847	149.962045440592	108.695454002083	127.783810956574	132.393380523959
ACCSL	0	1.06931745371768	0.832217992844512	0	0	0	1.03889277200467	0
ACD	359.180517509235	375.330426254907	381.155840722786	436.376784587979	315.226340415938	484.674811287978	451.91835582203	454.684337152991
ACE	106.09246602586	110.139697732921	236.349909967841	225.773673825683	197.39901899833	132.751005297626	102.850384428462	98.9607086744745
ACE2	25.5644496447854	22.4556665280713	30.7920657352469	32.1258982518758	26.0138242090822	30.2921757054986	20.7778554400933	22.7342168576495
ACER1	1.27822248223927	0	0	0.892386062552105	0	0	1.03889277200467	1.33730687397938
ACER2	76.0542376932367	69.5056344916494	106.523903084098	97.2700808181794	100.994846929378	65.0390831323941	75.8391723563407	74.8891849428456
ACER3	810.393053739698	819.097169547745	823.063594923222	805.824614484551	901.302497597026	814.324958671345	868.514357395902	767.614145664167
ACHE	77.9715714165956	73.7829043065201	158.121418640457	149.028472446202	131.599345998887	33.8559610826161	39.4779253361774	42.7938199673403
ACIN1	8562.81240852088	8003.84114107686	6069.36582181503	5769.27589439936	5354.25711221051	6475.39803022247	6374.64604902064	6742.70125860406
ACLY	15139.2670796419	15041.0193039929	12628.9080414155	12550.5175837328	11854.6527145741	14079.6250786469	13530.5394625888	14088.5279173728
ACMSD	0	0	0	0	0	0	0	0
ACN9	704.939698954958	635.174567508304	670.767702232677	685.352496040016	697.782578784794	602.279728732855	608.791164394735	548.295818331548
